,InfoPublYear,InfoPublMon,0,1,2,3,4,5,6,7,8,9
222,2013,2,0.798906505,0.766028464,-1.393366337,-1.237084866,-0.316119313,0.244096339,0.912797987,0.08945106,-1.394276381,-0.3268345
223,2013,3,0.928225219,0.869279683,-1.211846828,-1.429463267,-0.485506624,0.115982436,0.885848045,0.411584437,-1.51016891,-0.246863097
224,2013,4,0.785503626,0.844375551,-1.484241724,-0.961760759,-0.166627005,0.29313004,0.884993553,-0.086975433,-1.379895926,-0.143601164
225,2013,5,0.673174798,0.310315877,-1.433433056,-1.023591042,-0.064417586,0.335800588,1.223911881,-0.24801752,-1.725038052,0.202533796
226,2013,6,0.725664139,0.715091586,-1.371666789,-1.129400969,-0.336861342,0.298795104,1.2533108,-0.416917741,-1.249042153,-0.224341512
227,2013,7,0.644351244,0.671783686,-1.315851569,-0.8087973,-0.567943633,0.25564748,1.153609633,-0.050920084,-1.966289401,-0.05420889
228,2013,8,0.575132728,0.748245299,-1.49655354,-1.349146724,-0.421282798,0.042344987,0.870502055,0.023416827,-1.553997159,-0.124998003
229,2013,9,0.65688765,0.805684388,-1.707973719,-1.209969163,-0.466808379,0.167692348,1.160726786,-0.087149851,-1.526904583,-0.17748633
230,2013,10,0.774259031,0.728097916,-1.644960761,-1.021401167,-0.474246293,0.1372329,0.821274817,-0.170181468,-1.403900146,-0.264256388
231,2013,11,0.553764582,0.656175792,-1.489049554,-0.763305902,-0.381350636,0.164787516,1.271916151,0.278228432,-1.775478125,0.097293235
232,2013,12,0.70333451,0.623411834,-1.358347774,-1.127652764,-0.254666299,0.216009572,1.145631552,0.281208128,-1.802892804,0.077805765
233,2014,1,0.646911085,0.495333344,-1.493136764,-1.181896806,-0.338219315,0.201588467,0.868477046,0.535486162,-1.808425188,0.070697509
234,2014,2,0.768108785,0.622846484,-1.492202163,-1.145292282,-0.073243648,0.296228558,1.059819221,0.213157788,-1.629980922,-0.149517372
235,2014,3,0.636099815,0.830225766,-1.567435622,-1.207449198,-0.280568689,0.403604716,1.065215349,0.547731996,-1.308595538,-0.245551601
236,2014,4,0.567114115,0.42567417,-1.341276288,-1.072778225,-0.560449541,0.240813628,0.966340184,0.478951871,-1.682481766,-0.007247556
237,2014,5,0.604945958,0.846764803,-1.259304166,-1.179420233,-0.336180955,0.041993368,1.138027191,0.143568084,-1.667644978,-0.102839015
238,2014,6,0.741660297,0.591320276,-1.406378388,-1.057975292,-0.327465236,0.08379779,0.798293829,0.199780077,-1.534030318,-0.170615509
239,2014,7,0.647188663,0.880058169,-1.340021729,-1.274123192,-0.599900007,0.084399663,0.908285141,0.227670059,-1.440314054,-0.195455506
240,2014,8,0.358315289,0.937251151,-1.529214263,-1.147776723,-0.257156223,0.339764208,0.916998744,0.421094209,-1.771265388,0.246031299
241,2014,9,0.641567409,0.768340766,-1.396030903,-1.258003354,-0.443786293,0.106350861,0.776509404,-0.042950336,-1.488494039,-0.116518959
242,2014,10,0.830300152,0.753425241,-1.344182014,-1.227462411,-0.197089612,0.281609058,0.866759419,0.219097704,-1.462732434,-0.09887863
243,2014,11,0.468013614,0.803614855,-1.382328033,-1.301544547,-0.368990272,0.33096078,0.871159792,0.388498515,-1.728904009,0.059873112
244,2014,12,0.668116629,0.570743859,-1.48265934,-1.071500182,-0.4071033,0.459765583,0.870083332,0.795557439,-1.795948982,0.330138594
245,2015,1,0.517479837,0.853909492,-1.356974602,-1.468995929,-0.270965815,0.290538132,0.709371328,0.438964635,-1.705177426,-0.07351885
246,2015,2,0.823356628,0.677689314,-1.609472394,-1.52601254,0.221310154,0.348901153,0.846847296,0.559098303,-1.588143229,-0.269087821
247,2015,3,0.796604335,1.026621819,-1.461926699,-1.266782284,-0.331035078,0.054870728,0.745959282,0.538904488,-1.552322268,-0.343590111
248,2015,4,1.046658635,1.339370012,-1.148907661,-1.058367848,-0.437832594,0.128223509,1.005918264,0.563142061,-1.931205988,-0.077442296
249,2015,5,0.814792991,1.440759897,-1.407696843,-1.905644536,-0.477196902,0.179079041,0.761553466,-0.274123043,-1.342765927,-0.483169317
250,2015,6,0.982711315,2.09661746,-0.979118049,-1.399956107,-0.386313349,0.070915043,1.461600542,-0.165874586,-1.203091502,-0.807923436
251,2015,7,1.9225384,3.448332548,-0.761332154,-1.428898454,-0.55664748,0.698816955,0.750222087,1.59301281,-1.357076883,-0.82774508
252,2015,8,1.064118862,2.642045736,-1.061339974,-1.814401746,0.49211067,0.069108948,1.066209197,0.781788886,-1.872257233,-0.350329906
253,2015,9,0.696605504,1.456772685,-1.13751924,-1.678225517,-0.349088788,0.227223173,0.704412222,0.521957099,-1.387061238,-0.009854565
254,2015,10,0.503925622,0.961795509,-1.717925549,-1.440341353,0.448316157,0.271780312,0.898500144,0.232672244,-1.976578236,0.148599565
255,2015,11,0.4733181,0.909424782,-1.71677196,-1.219271898,-0.069908895,0.024424121,0.834046066,0.139903411,-1.457056403,-0.271194667
256,2015,12,0.509844899,0.657298326,-1.481109619,-1.134811997,-0.188083202,0.332103729,0.948986769,0.446750849,-1.978893876,-0.027617164
257,2016,1,0.343906134,0.477113992,-1.531182647,-1.360539556,-0.051933866,0.067684002,0.816839397,0.142500028,-1.748924851,0.035436165
258,2016,2,0.784891605,1.582067013,-1.649249554,-1.14799273,-0.209227338,0.196847558,1.119381547,0.086164176,-1.25866878,-0.691548109
259,2016,3,0.295729995,0.944605887,-1.59244144,-1.403794169,-0.345963836,0.289465815,1.320229411,0.491106868,-1.332516193,-0.370233029
260,2016,4,0.819081426,1.182446361,-1.309419394,-1.355392337,-0.382419229,0.183166131,0.943438828,0.15062955,-1.410205007,-0.310301423
261,2016,5,0.694818974,0.984278917,-1.442629933,-1.216965079,-0.195177972,0.253420502,0.873243749,0.324802846,-1.34665966,-0.291118652
262,2016,6,0.724026382,1.323440433,-1.608183622,-1.465128183,-0.148652241,0.332242697,0.863733649,0.485246122,-1.473148823,-0.451062858
263,2016,7,0.441500992,1.232141495,-1.753929257,-1.596063852,0.609188557,0.235764846,1.087758064,0.207141519,-1.611179233,-0.297047287
264,2016,8,0.615733862,1.042442799,-1.621555209,-1.168828368,0.190638781,0.181318954,0.870893896,0.159012064,-1.682666779,-0.0190624
265,2016,9,0.674993396,1.30109942,-1.514255404,-1.188837171,-0.237639338,0.322207928,0.960738897,0.319800735,-1.592497826,-0.198434085
266,2016,10,0.447969109,1.64608705,-1.358025312,-1.186515927,0.048299007,0.238083214,0.921385765,0.592940509,-2.09248662,0.078065485
267,2016,11,0.681878269,1.205981493,-1.624134064,-1.221439004,0.015860889,0.139791667,0.815678596,0.107858807,-1.534226298,-0.248093352
268,2016,12,0.669064999,1.043781519,-1.357628584,-1.454298854,-0.317418844,0.162332341,0.810413122,0.211374462,-1.540061712,-0.126021907
269,2017,1,0.520568013,0.777312458,-1.496973753,-1.520969868,-0.224305481,0.069153354,0.840278089,0.618448615,-1.68877852,-0.253324419
270,2017,2,0.583084285,0.42610082,-1.80891943,-1.522506714,-0.041226406,0.012440149,0.734789252,0.088808507,-1.490059018,-0.144646332
271,2017,3,0.535287917,0.876331687,-1.69870472,-0.452854961,-0.861863136,0.297644973,1.248981953,0.047805332,-1.204709649,-0.103640072
272,2017,4,0.399992913,1.141723394,-1.653337479,-0.34059757,-0.601087511,0.087200947,1.194985509,0.347387731,-1.906589746,-0.444957733
273,2017,5,0.251011401,0.831272662,-1.384445548,-0.685970008,-0.329206079,0.292005211,1.330371261,0.825848818,-2.291068316,-0.12245059
274,2017,6,0.553648591,0.523297548,-1.417207122,-1.261218429,-0.224971026,0.154223248,0.772628725,0.578631818,-1.880135894,-0.262992412
275,2017,7,0.435723275,0.441961646,-2.056371689,-0.81001991,-0.279362202,0.420410007,0.953264058,1.130161762,-1.878141522,-0.053651046
276,2017,8,0.114622466,0.666849911,-1.414528966,-0.826696098,-1.184918046,0.462827265,1.338675022,0.626644075,-2.076147318,0.01492461
277,2017,9,0.155835986,0.141089037,-2.316879511,-0.564501107,-1.428994894,0.00827499,0.578497648,-0.086592853,-2.117324829,-0.531724989
278,2017,10,0.321024269,0.406261295,-1.799158096,-0.650735855,-0.679906487,0.17673102,1.087789297,0.448357314,-1.72965157,-0.18871139
279,2017,11,-0.027257891,1.080888629,-1.759456754,-0.409194171,0.112328127,0.645190001,1.606317163,0.40281561,-1.826475859,0.288989127
280,2017,12,-0.188062966,-1.588901281,-1.598555803,-1.084111333,-2.995578051,1.400335073,1.097927332,2.391218424,-4.147278309,0.153894573
281,2018,1,0.346578717,-1.008032322,-0.917908132,-0.064301357,-3.587688684,0.843913615,1.115899205,2.799563885,-4.162816525,0.229488224
282,2018,2,0.66093272,0.9510746,-1.56929636,-0.669599354,-0.462995589,0.211182415,1.201162815,0.722812057,-1.558516979,0.564058185
283,2018,3,0.473081142,-0.218907833,-1.695765376,-0.429547369,-0.248010129,0.685462415,0.354117066,0.35372597,-3.072864532,-0.023765581
284,2018,4,-0.30000025,0.17159757,-1.998976707,-1.684053779,-1.955473661,0.780203164,0.105187207,0.974832773,-1.942445278,-0.779759765
285,2018,5,0.173526198,1.610743284,-1.059433818,-0.344672441,-0.980686903,0.177255481,1.744368911,0.518544674,-2.713114738,0.301601768
286,2018,6,0.454279929,0.771783471,-1.36196661,-0.60588479,-0.222225592,0.793648183,0.689912438,0.478736132,-1.619206905,1.204736948
287,2018,7,0.435381979,-0.577988923,-2.273738384,-0.975608408,-0.58002156,0.237233579,0.455373496,1.151092529,-2.594753981,-0.634091914
288,2018,8,0.335238695,-0.314011544,-1.91092205,-0.104845762,-1.896467328,0.892711937,0.714531422,0.609720111,-2.65566349,0.422823995
289,2018,9,1.321713209,0.303285599,-1.474689484,-0.270886719,-1.047822118,0.664589763,1.282002449,-0.257674038,-2.569543123,0.945975304
290,2018,10,1.24616909,1.11045444,-1.928592682,-0.823001802,-0.437465936,0.242975712,0.371355176,0.363152176,-1.40361774,-0.183066711
291,2018,11,0.712478995,0.895098388,-1.586772919,-1.479952216,-0.42921254,0.204679444,0.82218653,0.228769481,-0.787396729,0.159247369
292,2018,12,0.868776023,1.329981685,-1.594840765,-1.28237474,-0.101493254,0.199681416,1.126900434,0.131065965,-0.955000818,-0.357187688
293,2019,1,0.337804705,1.43202889,-1.518830419,-1.109410167,-0.16341795,0.123771846,0.969653189,-0.338334799,-1.84205687,0.338371336
294,2019,2,1.043349266,1.616996288,-1.786180973,-1.516966105,-0.332287669,0.11539609,0.118087977,0.139854848,-0.738386393,-0.625321388
295,2019,3,0.426118374,2.003958702,-1.206023574,-1.879756808,0.125434831,-0.003271679,1.028176308,-0.449542373,-1.228090525,-0.591807544
296,2019,4,0.857230067,1.418027282,-1.028890967,-1.242183089,-0.193733394,-0.222851276,1.145588279,0.508909583,-2.402734041,-0.457350582
297,2019,5,0.808173299,2.011587381,-1.05702281,-0.892637968,-0.318007201,0.25434494,1.388950348,0.136775479,-1.880666614,-0.802672327
298,2019,6,0.749576688,1.094991326,-1.410764217,-1.642782211,0.346984029,0.011968797,1.327819586,0.573264241,-0.985995591,-0.158700079
299,2019,7,0.578587413,1.107329965,-0.976252615,-1.134123683,-0.229771733,0.428074121,0.832997143,1.296559811,-2.392207384,-0.267750233
300,2019,8,0.176622003,0.276910841,-2.306782246,-1.631176472,-0.146546379,0.397307873,0.942056358,0.391337663,-1.624163747,0.618635833
301,2019,9,0.439317584,1.636595368,-2.487671852,-2.539598465,1.86464417,0.525998771,0.589089155,1.760058165,-0.509589851,-0.153615415
302,2019,10,0.15181157,0.920070231,-1.026776314,-0.84899199,-0.648583114,0.475270569,0.963239014,0.142205775,-2.80026865,0.207144305
303,2019,11,0.496954829,0.731909513,-1.235718846,-1.215082407,0.07131207,0.280931115,0.39156729,1.063598752,-3.19258666,0.037637696
304,2019,12,1.046186805,0.797994792,-1.033081651,-1.06660676,-0.100747667,-0.183646023,1.169567704,0.740054071,-1.768137455,-0.400812715
305,2020,1,0.143794,-0.471131891,-1.565614581,-1.335022092,-0.714870811,0.585375667,1.205700278,1.452812791,-2.589071512,0.059720866
306,2020,2,0.141763255,0.261257082,-1.380950332,-1.167251587,-0.196259573,0.48427099,1.313636422,1.050060868,-2.086140394,-0.082009323
307,2020,3,0.982256174,1.248150945,-1.144274235,-1.435742974,0.008527626,0.356508493,0.562023103,0.885043919,-2.155892849,-0.223185837
308,2020,4,0.797110081,0.00811279,-1.394392133,-1.615913033,0.298866689,-0.094472252,1.141399264,-0.062568098,-1.817119241,-0.408612579
309,2020,5,-0.188546002,0.251839608,-1.451841235,-1.538957,-0.703227818,0.832213342,0.708626509,1.934651852,-2.049167633,0.104354322
310,2020,6,0.318021894,1.15678823,-1.598276258,-1.59897244,0.022738593,0.172187671,0.680338562,0.347627193,-1.465299964,-0.341206372
311,2020,7,0.150828078,0.507684827,-1.544355989,-0.999103904,-0.139658183,0.63987577,1.282806635,0.878310561,-1.299077153,-0.555114925
312,2020,8,0.341252297,0.686163962,-1.507570148,-1.966129661,-0.186810568,-0.155307427,0.892639399,0.073099457,-1.100029826,-0.396301121
313,2020,9,0.46767047,0.883698404,-1.695636034,-1.220775604,-0.410984665,0.203954607,1.048196197,0.179098323,-0.885944247,-0.307120353
314,2020,10,0.505846739,1.121202826,-1.215063691,-1.261350989,-0.264478862,0.078337222,0.653578222,0.233646587,-1.256917,-0.450208932
315,2020,11,0.36236012,0.496243209,-1.321267962,-1.062972307,-0.060322117,0.361933321,1.081808925,0.330331743,-1.57718575,0.136743724
316,2020,12,0.423358411,0.543889642,-1.149965405,-1.356549501,-0.31124267,0.224069148,0.665724277,0.696441174,-2.005918503,0.090907827
317,2021,1,0.369012207,0.116816588,-1.499729872,-1.699676037,-0.145637766,0.445243835,0.703284919,1.165612698,-2.321971893,0.036905613
318,2021,2,0.14700605,0.98470211,-1.47189486,-1.148769498,-0.208744183,0.409283817,0.959868014,0.720144272,-1.642992496,-0.289852351
319,2021,3,0.390799016,1.220081806,-1.544322491,-0.571550369,-0.445458859,0.154747352,0.745050192,0.82777822,-1.849872351,-0.31016162
320,2021,4,0.257870138,0.329823345,-1.644999981,-1.019265652,-0.272162765,0.495289624,0.665831804,0.200320333,-1.562945962,-0.124740541
321,2021,5,0.517267108,0.394126445,-1.338845491,-1.398967147,0.41404888,0.399456233,1.077609539,0.733683169,-1.089167953,-0.203850284
322,2021,6,0.29261598,0.562598586,-1.593551517,-1.735985041,-0.428863049,0.205260471,0.573488951,0.553979874,-1.495353937,-0.09216132
323,2021,7,0.677795589,1.095653892,-1.443308234,-1.312698245,-0.151013479,0.294811428,0.741328478,-0.099621952,-1.164071202,-0.234021053
324,2021,8,0.511504829,0.931608558,-1.517423868,-1.836729646,0.1280604,0.023943838,0.333107144,0.111771174,-1.253502369,-0.061583675
325,2021,9,0.97406441,1.206215382,-1.271272421,-2.023472786,-0.440237582,-0.414951086,0.316896945,-0.095990278,-1.044242144,-0.576487005
326,2021,10,0.649237931,-0.12261869,-2.019380331,-1.17175138,-1.097480178,0.242110208,0.273591191,-0.369700849,-1.610898852,-0.313177556
327,2021,11,0.383264542,0.875773966,-1.522343755,-1.284431934,-0.136190176,0.223025456,0.747021973,-0.138198361,-1.466296315,-0.248626381
328,2021,12,0.605956793,0.433063149,-1.658742428,-1.575093031,-0.414742917,0.362066716,0.353371292,0.357140034,-1.517055511,-0.050206654
329,2022,1,0.92075491,0.452297866,-1.59765327,-1.945235491,-0.327429652,-0.146668121,0.295356005,0.061576098,-1.300106525,-0.264395475
330,2022,2,0.451651663,0.944516659,-1.675601363,-1.254889965,-0.44680804,0.071545988,0.4078556,0.534412682,-1.441002607,-0.492386878
331,2022,3,0.295520633,0.368710965,-1.94500196,-1.074581504,-0.527600825,0.20806703,0.582033634,0.223021507,-1.703000546,-0.300197214
332,2022,4,0.282845408,0.331138521,-1.960101843,-1.155710816,-0.574017704,0.231720477,0.880479693,0.305975586,-1.328383446,-0.136164546
333,2022,5,0.301385134,0.356738955,-2.097448349,-0.706344962,-1.020695329,0.278604597,1.406489253,0.237589985,-1.157863617,-0.700594068
334,2022,6,0.594399452,0.390468061,-1.921644449,-1.309935689,-0.527300298,0.079839937,0.757434428,-0.10245955,-1.141806245,-0.334859639
335,2022,7,0.470983297,0.531177163,-1.950244427,-1.255891562,-0.489506423,0.227177292,0.775442958,0.256045848,-0.918439031,-0.365655869
336,2022,8,0.433664531,0.669735253,-1.872507334,-1.304686308,-0.372092724,0.134603113,0.898954451,0.168888956,-1.032383442,-0.423768312
337,2022,9,0.364176959,0.540798008,-2.002644777,-1.112488031,-0.630226016,0.333292723,1.026236773,0.240884587,-0.957159877,-0.295556396
